ID,Comments
59,"If Marx saw this, he would inevitably write another example of the original crime to capitalism.Pour milk into the river is nothing."
60,"It doesn't matter, who dare to do so, there are competitors to give him the price, send a fatal blow.That is why you welcome Meituan to fight against Didi so much."
61,"Some east has begun to do so, his account and a friend account, see the price of the same commodity will be different."
62,"You have a valuation bottom line, expensive do not buy the line."
64,"Your idea has a gross relationship with big data, the direct price of 500 equally is not finished, why drive the latter out?"
68,Putian doctors used to be a big human flesh data processing system
69,"In fact, this similar strategy has been started in the data background of Tmall. As a store operation, we can directly send coupons to customers who have been following the store products for a long time to attract new customers"
70,"The former kill is Zhongguancun and other computer city, look at the consequences now know, if a wave, the opportunity to come."
75,"What if the price increase by 10% is 5% to the business, 5% to the platform??"
76,"And if everyone can enjoy all the services and goods needed at an affordable price, what is this, this is communism.Everyone goes to the job he wants to do.Just the future that you can meet will not reach so ideal."
82,"In fact, I found that many platforms already use big data like this, kill ripe!!"
84,"In fact, in this case, there will be a price platform between consumers, and we will immediately find out who buys the cheapest thing at the moment, and then the person will immediately buy the product and sell it to others.In this kind of society, the door of the drugstore will squat a selling band-aid scalpers."
85,"Yes, but this use of account history or browser Cookie caused controversy a decade ago, so overseas browsers generally had anonymous browsing mode a decade ago.Now, the technology can record the mac address and other unique locking. Under the big data platform analysis, only the face can be identified, and this price discrimination will not only appear on the Internet."
86,Does body tor tissue?Cain data loss of significance?
90,"So I would rather buy on Taobao, see a few more, more than a few, looking for the right price to start."
92,Perfect it shows the ugly eating face of capitalism
94,"In my opinion, the employees of Alibaba, Baidu and Jingdong go to the hospital to see a doctor, and the hospital should use big data to price it.If Ma Yun heart disease to first aid, how can not collect a 10 billion start?"
95,"I think the store would spend a lot of effort to find someone who wanted to spend 500 yuan for band-aids, and ignore 5 yuan for band-aids.After all, you just use big data to screen, let the former enter, reject the latter enter, and let the latter die outside the door.In this way, the former will not feel unfair and willing to take out 500 dollars, while the latter is dead and you don't care about his 5 dollars.That's the right idea, right?"
98,"Last time I saw that Alibaba was focusing on relevant departments in various provinces, giving certain preferential treatment but requiring all the medical insurance hospitalization information on Ali Cloud.Think about it very much"
99,Can I register for a new account number
100,"I have always been disgusted with this big data, our school everyone also do this, really disgusted, all kinds of privacy under the guise of convenience"
101,"I have a question, what if this big data killing enterprise is a state-owned capital background?"
105,"Next step: control your spirit, let you have the will to give all the money to me, I am not responsible for the consequences."
107,"Now preparing to invest in a face recognition company, one of their business directions is new retail, in short, identifying the customer-analyzing the customer needs-providing services, about the logic stated in this case.Technology is no good or evil, but in the hands of different people, or to improve customers' consumption experience, or to seek more benefits for businesses.What feels scary is that as an important link in the chain, you can't separate what is good and what is evil."
109,I would definitely complain if the price was different
110,"There are already examples, using different operating system phones to query the same goods on the same website for different prices, such as iphone is more expensive than android.The website has clearly marked the price, but there is price discrimination.It's not an imaginative thing, it's a naked reality."
111,"In the future, real killing will not let you find killing ripe. Big data will automatically analyze all the news channels that you may have access to, including all those you know, which will isolate you a perfect killing environment, making it impossible to find that you are killed."
112,"Because of the need for temporary capital turnover, the Jingdong Gold bar and China Merchants Bank found that the interest to me was higher than that to my friends, my friend's economic situation was similar to me, only limited to credit investigation."
113,It has long happened to buy preferential goods and sell them cheaply on salted fish.
114,"In Tmall international direct sale received 300 minus 40 coupons, bought a bottle of Philojia eye cream for the first time, 299 finally 259 hand.Later, there are three hundred minus 40 activities but how also can not buy this eye cream, said that which area is no goods, for the country any place is no goods.When this activity is gone, can not use the voucher to reduce the money, this eye cream but has goods and can buy but the original price is 299. True dog coin."
115,"See Canadian CBS Marketplace, consumption habits different net to buy different prices https: / / youtu.be/NZVpbwz6kPk"
116,"This will not grow to this point.The first price principle is also established in this, the same commodity should be the same price, otherwise there will be arbitrage space. The reason why no arbitrage now is because of the problem of arbitrage cost.The price rises and falls of big data are destined to only occur in a small range of unprofitable arbitrage, just like the case of currency prices floating under the gold standard.Unless there is a ban on goods circulating between consumers, that is, to ban all second-hand markets, which is literally impossible, it is almost impossible to go all out."
118,That's not big data
120,"With this problem, we can't all be blamed to big data, because big data cannot only play a role in terms of prices. People who buy band-aids for 500 yuan can also buy them from those who buy band-aids for 10 yuan"
121,"This has long been concluded in economics, called price discrimination, which is designed to maximize the residual value of consumers"
122,What's that different from capitalism
127,"This achieved the first of three price discrimination, 6666"
128,This is...Price discrimination in economics?_(:§Ù¡¹¡Ï)_
132,"How many more software do you still call takeout right now?After the monopoly naturally to rise in price, kill the ripe, kill the pig ah, grab the market to burn those money you pay?Who eats sugar, who has been beaten, has never heard of it"
138,Uninstall drops
142,Return to the taxi
143,"Pay attention to see that the price is lower that there is a coupon, the small word written clearly, Mr.Zhou and the media can not see clearly or do not understand the platform coupon subsidies for new customers' daily operation concessions?"
144,"Big data killing does exist, but this 12 km difference of 8 yuan is too much nonsense to be eye-catching. When I don't often use it, it is cheap"
145,What is the small word below the price on the right?Isn't it coupons or something?
146,"The relevant state departments should severely punish this behavior, where to go and Meituan also have such problems, other do not know whether or not"
147,Isn't it been reported before big data is familiar
149,"Yes, on the same section of the road, almost every taxi price is different, and it shows that the final price settlement may also increase in price, depending on Didi's mood"
151,"Internet platform, convenient for users at the same time but the most important integrity of doing business lost completely.Can punishment be heavier [hand] [hand] [hand]"
152,"When I get off the car showed 22, but the app does not upgrade cannot pay treasure to bind my bank card, go home to upgrade the program after the payment price becomes 24, textbook like technology for evil"
154,"Reply @professor_Kong: Flower pig is Didi?I spit it up, no wonder"
155,"Last week, I met in the same place, with two mobile phones to hit Didi, the round-trip price was 10 yuan worse"
157,Is a regular taxi??
161,"The same distance between the two places, the round price is different"
162,"In fact, the mobile phone budget trajectory and time is not the same, there is no way to avoid this, I also make a line of system products"
163,"Didi has raised a pile of trumpets, which is to prevent the monopoly law"
165,So no taxi software [sad] [sad]
166,@ Didi Chuxing
167,"Too realistic, I take the same route as my friend's phone, I cheap, [laugh cry]"
168,"Didi is not pricing drivers at all, but meter.So the driver pricing has never changed, the platform's so-called draw is a change, so that the passengers pay is different, death is"
171,"The same mobile phone, hit the same route, the price seems to have never been the same [two ha]"
175,"Ctrip, two mobile phones at the same time to check a hotel, the difference of 10%."
177,Will you an high order an high high?
178,"I think Didi should now be trying its best to deal with the investigation of how to avoid the two monopoly, no edge ball forever"
179,"No, want to ask, call express and call special express what difference?"
184,The next one is Didi!monopolies!
185,"And the price would be higher if they were at the same destination and at the same destination,"
187,Apple phone also looks different from domestic phones
188,"Earlier, it was found that Apple phones and Android phones charge different fees.Originally has been killing the ripe"
189,"This phenomenon is really too normal, Meituan order food, the price of the same food is the same, but the delivery fee, and the packaging cost is different, Ctrip to go where flying pig, the hotel room type is the same, different mobile phone prices are different, helpless"
191,"Didi: Understand, all adjusted to the high price of 8 yuan"
193,@ Didi Chuxing came out to explain it
195,"Yesterday came home from work and said a waist is a little hard, look back to do a whole body massage, and then Taobao recommended to me a nearby whole body massage [crooked mouth]"
196,"Last night, I went from a hotel near the Temple of Heaven, and found a 120 standard room for one day. As a result, I struggled to make a single exit to immediately refresh it into 160 a day, and I really have your flying pig"
197,"Yesterday the headlines has a two goods with Ele. me to buy barbecue, the price is the same, with the original price and discount red envelope two kinds of pay??I think he's sick"
198,"Yesterday to buy a ticket and others have a price difference, can not light out no matter ah"
199,"Yesterday, I was pleasantly surprised to find that I ordered Meituan takeout for eight yuan more expensive than usual. I directly said goodbye to MeituanBB 1 [goodbye]"
200,"Yesterday with his elder brothers dinner, he said to drink some wine, but I drove the car, he vowed that he will call me on behalf of driving, but also specially opened the Didi to help me search the price, 55, can accept.Search on your phone before drinking, 58"
201,"Crime do not investigate the train ticket, plane ticket, must go to the official website, the third-party platform did not guarantee"
202,"The most important thing is not to kill the mature, but to squeeze the remaining value, Apple mobile phone users are generally richer, more expensive goods, Android generally have no money to use, it is cheaper.Please study what economics is to extract residual value."
203,"When the first propaganda to vigorously promote the construction of big data, I thought of this situation, information leakage, data killing, network fraud, information fraud.To vigorously promote big data when relevant technologies and immature laws and regulations are not perfect is more harm than good"
205,"One of the most outrageous taxi platform is called Xiangdao, 3 kilometers received 40 yuan."
206,"The most terrible thing is that I knew he was killing him, and I couldn't do it.My choice is only to buy and not to buy"
208,"Recently, I have quite like Xinhua News Agency [OK]"
209,"Best solution: Prevent software companies from accessing user information, except for location functions.User information needs to be passed through the national administrative department, randomly change the user name, and provide disguised information to other software companies (such as the user name to number plus letter combination, or a string of strings). The national administrative department will store the user's real information.If users and software companies have complaints and other behavior, they also have to go through the black box processing (national department), if you want to go to the court, and then provide real information, anyway, the court will provide random user information, to prevent the software companies from killing data"
213,"Had better have the price network unified price, or it is to carry out a separate department special supervision"
216,"The most worrying is Jingdong, you open a member to buy everything you are more expensive than others, I compared with two colleagues, 80 percent of they buy things have coupons to get and opened members have no coupons to get, the average I am 30 percent more expensive than them. Does this kill you???"
218,Apple can settle its accounts on an Apple account
224,"Since changing the Apple computer, Taobao can't find cheap and good-looking things [hot eyes]"
225,Senior big data algorithm engineer.40k-50k.What moral what is done [doge]
234,"Capital is never a good thing, although it can make the market dynamic, but when the power of capital is strong, they will control the market and start to cut leeks."
237,Prepare two mobile phones
239,"Make a million, fine no more than a million or higher if someone will always dry [hot eyes] [hot eyes]"
240,"Earned hundreds of millions, fine only hundreds of thousands, you punish him hundreds of millions of try, immediately put an end to, not fundamentally solve, such a thing will be less"
241,"Experts said, I travel are arranged, I don't care about the price, I will be fair, you don't take it seriously"
248,Famous hamster reply @ Langfang mental hospital Dr. Gao: ok I take ipad the same account to do a Youku member six yuan 5 take Android five yuan what can be washed consumption Apple smoke 30% has been a pile of video said more than once
257,"The platform: clearly said I kill familiar you can put me how drop!Isn't it the penalty? you say the number is.Is this a matter?Anyway, you can inseparable leave our platform.How do you love it? [doge]"
258,"At noon, I go out to find a restaurant cheaper to eat and exercise"
259,"Chinese old veterinarian replied @ waiting for snow snow: good, last year I was brush paste, teeth a little uncomfortable mobile phone lock screen when the mirror, and then brush down began to recommend dental hospital [speechless]"
260,China needs to regulate the Internet and financial industry
262,No capitalists are allowed in the People's Republic of China!
264,"Point out that Meituan takeout, the same store, different mobile phones, different times to see different prices"
268,Is it only my attention on the Apple phone screen?[funny]
270,"Only the ruthless punishment, it is possible to treat this problem.Found once, fine the net profit of one year"
271,"As long as I have more small sizes and don't often, big data can't [doge]"
275,"As long as I don't, they can't kill me, but it's really bad, hoping to work hard and make them once for 10 years."
277,"As long as the law increases the punishment, such as shutting down the platform once found.He who punishes one threatens a hundred"
282,"Can only use a thousand yuan machine of which I was moved to tears, is really a conscience entrepreneur, the people's big data [smile]"
283,We can only say that Xinhua News Agency is always fascinated by the people's livelihood
284,"Can only say that the fine is too little, enterprises do not feel distressed.The first 50w, the second of the second 50, the third third, push down to see if he dare"
285,"Can only rely on the Xinhua News Agency, to go to the top"
286,Can only blame the punishment intensity is too weak chicken.
287,You can only use a few more APP comparisons
291,"Direct suspension for rectification for a month, I see who also dare to kill ripe [yi teeth]"
297,"Can't you directly pull it into the credit blacklist?Ban its loans and so on, see if he still dare not"
301,Direct according to the company market value ratio penalty calculate [hot eyes]
306,"Alipay hello bike, my friend and I received a monthly card advertising at the same time, he is 14.5 a month I am 14, his mobile phone is more expensive than me"
309,"Support more money, who let you worship foreign beauty"
311,"The best laugh before is not a university announced to enter the school the day after tomorrow, the result of the ticket directly rose 400 [off single doge]"
312,"Before, my customer said that the order on the APP is cheaper than what I ordered, so I said you would order it yourself, and I really have this price."
313,"Before Taobao bought something worth 2,000 +, I saw it at the same link, and found that the price was not directly right, the price directly doubled 4,000 +, and several times again became 2,000 +"
315,"Before the friend to book the ticket has this situation, originally thought because the friend used more, so the discount is more"
317,"Anyone remember the previous experiment done by a professor at Fudan University?It seems that they spent tens of thousands of taxi to do, different mobile phones, different accounts of the same distance price gap is not small.And a fine, an enterprise..Forget it, Tencent fined 500 and then still full of money, and even directly and some high schools to pay the fine directly fair and honest do not cover up the winter vacation lessons, punishment has what use, the most useful or direct order rectification, but I do not know whether the country can have this determination, after all, the industry pillar industry ps.I don't know if I will limit the flow, so help to top it.ps.I don't know if I will limit the flow, so help to top it"
318,"Anyone remember the previous experiment done by a professor at Fudan University?It seems that they spent tens of thousands of taxi to do, different mobile phones, different accounts of the same distance price gap is not small.And a fine, an enterprise..Forget it, Tencent fined 500 and then still full of money, and even directly and some high schools to pay the fine directly fair and honest do not cover up the winter vacation lessons, punishment has what use, the most useful or direct order rectification, but I do not know whether the country can have this determination, after all, the industry pillar industry ps.I don't know if I will limit the flow, so help to top it"
319,"Before the business trip together with colleagues to order takeout, colleagues seldom order takeout 25 minus 15, my 25 minus 10, I quit the login after 25 minus 15, hehe [laugh]"
320,"Is it not allowed e-commerce to sell vegetables before?Now that what ding dong sell vegetables, my mother on the road riding the car with his mother Wolf saw sheep like want to call me to download, even sell vegetables such vendors of rice bowl they have to grab, really regardless of whether they will go to heaven!Since these dogs started selling vegetables, vegetable prices have been rising much more than before, zheninima does not let people live!"
323,"Is the evidence too easy to find or the lack of legislation and lax law enforcement.Once public interest litigation is open, every platform has to kneel"
330,"Rectification bai, what is the use of the fine?"
331,"Rectify the Internet to take small businesses, the real those Internet giants punishment are not painful"
333,"I really hope Xinhua News Agency can look at the e-commerce platform auction collection, product garbage and other..."
334,"Some people say that Apple smoke, with you to buy a ticket Apple can also go to the airline smoke ah, Apple itself dare not say oneself so awesome."
336,"true.I have also made [laugh cry], buy a ticket tablet price is different from the phone, tablet is a few expensive"
337,what a coincidence!I don't have to [laugh and cry] I am not behind The Times![Cbs of joy] [Tears of joy]
338,"I'm so sorry, so you found it out.Next time to pay attention to the same price, new users to send coupons, the old users have no coupons."
341,I really hate big data and limit people's minds
342,"Really, my friend recently want to buy a plane ticket, and then the friend over 8,000 Apple phone is 1050, my 29 thousand Android phone is 910, has been speechless"
343,"Really, order takeout with roommates, a dozen fried chicken can be three or five yuan"
344,"Sincerely hope that the most thorough!serious!heavier punishment!Rectification such kind of enterprise behavior, agree with people please give me a thumbs up"
345,Really kill Apple users as a pig?Apple costs tens of dollars more on airline tickets than Android
348,"Ticket and hotel bookings this week, both showing temporary price increases at payment [Smile]"
350,"This kind of thing, should strengthen supervision, if the boss surname can control this kind of thing, that round not to get unscrupulous business to kill"
351,"At this time, I still can't see the old beauty side of the treatment method and to learn from a bad judgment and bad supervision, then don't want you to change the ability to let the people choose!"
352,"This situation is almost better than them, and the price is always cheaper....Although some even three no products are not counted"
353,"This use of big data to kill mature behavior has technical restrictions, it is difficult for consumers to report and collect evidence.Or to the industrial and commercial department to have special people to use the test Pa."
355,"This will not hit the pain point that he will not admit the mistake. He will give him the punishment in his name, such as the punishment that can be recorded in the platforms such as Tiancheck, which will affect its credit investigation and make it unable to borrow"
356,"If this punishment is not integrated, it has no sense. It must punish the premise that every transaction is assumed to be illegal in order to effectively manage the market"
363,Will these capitalists discuss the division of the army in the future???!!!
364,"The fine is a dime in the bucket, and it follows"
365,The capital is becoming more and more unscrupulous
369,"These enterprises use the so-called big data, with high-tech irrelevant personnel [hot words series _ you details]"
374,And many people know what this can do?Even read your photos to determine that you have software you can not open permission with nausea no have to honestly use there are a few software to read your storage information do not give to disable most of the software can actually read my storage information has no impact on its use can be this real dog
375,"What do these app's do?I don't and won't have it in my phone.I want to delete tb, during the activity, the discount price is higher than the usual price, have to spend the thought to compare [abandon]"
377,"This thing is not what ""big data"" such advanced things, the software will also get a model is finished, pull what big data ah"
378,"What is this a big data kill?Android and Apple are the two channels, the channel cost is not the same, merchants can not set their own prices?"
379,"What is this, I order the same seafood fried rice, the store sells 25, takeaway app on 48 [speechless]"
380,"That's one reason why I don't use Apple. Apple will smoke it out, and then the big software will think that Apple will charge more money"
381,This is the human nature want to use the system to correct human nature has always been a drop in the bucket will only make the expression of human nature more complicated eventually we are very perfect but life experience is more nervous fatigue is contrary to our good wishes to teach the saint to know yourself to see broken human nature beyond human nature this is the real way to solve the problem
384,"Is this a flow-out limit, right?![Hot Words Series _ Protection]"
387,"Now, can MIUI mess with big data?"
389,"What does this mean, because the price of the phone is different or because of the software, why the barrage is scolding Apple"
390,"This kill of cruel ruthless ah, I just searched a thing he pushed to me.You use it on a software for a long time, and it begins to kill it.Big data is very ruthless.And there is software that is cross-platform connection. I searched another software and pushed it to me."
392,"This reminds me of the price change of Uber when I was studying abroad. My friend's iPhoneX is $5 more expensive than my iPhone8 call car (the same distance, the same car type).Sure enough, capitalists do the same."
393,"This year who use APP, not their own go"
394,"Let's say so, as long as I have no money, you can't kill me, the price is very expensive, bus, subway, restaurant dinner, cook for myself, the flight I always go to the airline official website to see the price"
395,"So, bought Ele. me super member, the same thing is several expensive [doge]"
398,"Such an obvious killing, and also algorithmic evidence?I can't figure it out.Just take a few mobile phones can verify ah."
399,"In this way, the code is really y y d s, capital + technology is really invincible [hot eyes]"
401,"So many days later, the punishment news didn't see even one"
402,"In the past two years, after seeing the appearance of these platforms, almost no Didi, Meituan or what, is to support the physical industry."
404,"One of the lawyers said it very well.This kind of thing should not be consumers to be killed, but after the platform to prove that I did not use big data to kill.As long as this can be implemented, the platform will converge, because its self-certification cost is not low."
405,This kind of software is always getting sick
408,"It's not data killing, but the amount of Apple APP transactions that has to be paid to Apple."
409,That's why I unload the hungry Meituan [Hot Eyes]
411,"Is this the ""big data"" [insidious]"
413,"So, just buy an Android phone??"
414,"This basically depends on what ordinary people in the country can do, he is so how can you do? Injury or ordinary people finally know why businessmen are cheap, no matter how? Big enterprises on those a few countries no matter the market is so a few have no motivation, look at the big enterprises have investment, basically have something else. I don't know about Tencent everything is engaged in the country to do sure to do Tencent Ali these two force now basically have mobile payment big data must be banned otherwise make a foreign economic crisis who return the money"
416,"It was not reported several years ago, and now it still needs research certification?After so many years, Meituan and Didi Ctrip did not feel it.Every year to report this news, the problem is not solved, relying on the right traffic of the media, and the official media to report the performance, every report is like the government to solve this matter, in fact, who dare to touch this cake ah."
424,Can we manage this one @ Xinhua
425,"This month seems to have a provincial exam, when booking the hotel with the same APP booking hotel I search out than his home page provincial test discount activities cheaper [doge] fortunately I do not save the exam, this should also be kill, if the APP know you really take the exam, that is to kill you"
426,This sample is simply not enough!Apple is notorious for saying that businesses have a problem?You compare Redmi to Huawei's phone?I price the Redmi p30 and Huawei mate40 anyway!
428,This is really Meituan ordered takeout the same price becomes higher day by day
435,"With Apple, no one doesn't use such physical goods and services. It is purely familiar, and the expensive Android phones on the same platform will be more expensive than the cheaper Android"
439,"The navigation bar of this Android phone, along with central digging holes and microcurved surfaces, is undoubtedly the Samsung s20 series + or u.I know it's because I was just using the Samsung s20. [Laugh and cry]"
441,Ele. me is an expert in this area
442,"How to say this fine, for big enterprises, the fine is not painful, open for a while to recharge to send things activities may earn back [eat melon]"
443,This is a small amount of money to earn back in a day
446,"This thing is not qihu rogue software 3721, Ali, Amazon, 360 each inherited a part, now it is everywhere, mmp [insidious]"
450,"Is this not a subject that some scholars did before, how can it become a Xinhua News Agency reporter?"
452,Isn't that capital
458,This is all filmed and requires consumers to Sue the supervision of this...
464,Tut tut buit big data to kill familiar Apple and Android are the same.You can't understand this video.Just the same time of the air ticket but another mobile phone is expensive
466,"Long found this problem, go to the same place, Pingguo mobile phone hit Didi more than 20, Android less than 20"
467,"Long found out, with Meituan to set the guest room."
469,Early tm no didi
470,Praise exploded the Xinhua News Agency cattle b [eat melon] dry his ya
472,"In this era of big data, you and I are all streaking people"
473,"When I often call takeout and taxi, I am always at the highest price among my colleagues, [hot word series _ afraid] I even buy a gift bag at the same price as my brother, is my content chicken rib, his rich.The md, speechless, no love.[tv_ get angry]"
476,"In a takeout platform, I have repeatedly found that as long as the store has bought, the second time to buy again, the delivery fee is all more expensive than the first time, this is to kill ripe"
478,"In the eyes of the Internet giant, you are ""naked"", even you don't know whether you are ""naked"", information age, play an inappropriate example, if each giant associated with each other, personal information sharing, can make a and you experience little physiological nothing to do with you [cover face] [cover face]"
479,"At Ele. me ordering, the first next display 20 and then return to the repoint settlement display 18 and then return to the point settlement at the return point settlement, every time..."
481,"Why is the apple so much in the comment section?You use a more expensive Android phone with big data...And talking about Apple's channel tax, isn't this thing only for virtual items?Have you bought anything collected on Taobao?And Huawei Xiaomi's domestic app stores have channel tax on such virtual items, and Google Steam is as foreign as Apple."
482,"Why not say Ctrip, hotel price, members are higher than non-members, outrageous [hot eyes]"
484,"The larger the capital, the more you need to be regulated"
486,"Fate should be said: are Tencent department, the current life software is also Ali Tencent two major departments"
487,It turns out that big data is used like this
488,"Yuaka-12334 Xinhua News Agency dare to say anything, too fierce."
490,"Encounter, my classmates and I face to face to open millet mall to buy millet mobile phone, the same thing.Mine is available, and his is sold out.I don't look at the mall, he often tells me about the new millet goods.Unexpectedly, it was also the original is the big data to kill the familiar ¡­¡­¡­¡­"
491,"Encounter, Ele. me Meituan now also seems to have"
494,"Can it show the number of all social platforms?Now, as long as the news of war and conflict or negative is a lot of praise, but it is not realistic to step on it, which does not how to guide minors to form three views?"
497,"Once again, my classmates and I ordered takeout, I had a discount of a full reduction of 12 yuan, she didn't"
502,One more reason not to buy Apple
506,"There is a barrage don't say Apple smoke, these software pay is Alipay wechat, but apple store did not draw, just just to Apple users charge more money [spit]"
508,"Now, Xinhua News Agency has only had a million fans, which is the most outrageous"
509,"Once the same thing, in Taobao payment without shipping costs Tmall also have to pay extra freight [crack melon seeds]"
510,"A problem does not need and will not die, direct software off the shelves [OK]"
513,"What is the use, now is still killing, Meituan ele. me two broken software"
517,"What is the use, you go the legal way people are not afraid of you, people a big enterprise to see you like watching ants"
519,"Someone commented that ""so don't set a limit, fine based on profit"" was deleted, who did it?why?"
522,Hot comments were deleted
524,"There are two times to buy a ticket to order a second prompt hundreds of expensive, decisively change another APP"
525,"Some people are like nt, after the appstore payment will be drawn into, similar to the king recharge, the fifth recharge.Physical objects or Meituan these order similar things, through Alipay and WeChat, to their hands, how do you think to smoke?Man apple hands again, how does he smoke?"
526,"Some price changes are very normal, because and the number of remaining tickets decided, may add some other factors, this price floating within the allowable range.But this is different, as if several people take the same car at the same time and place, each with different ticket prices"
527,Some bullet screen is really disgusting (I directly report anyway) what I buy mobile phone need you to tube [speechless] [speechless]
529,"There are bullet screen said that using Android is the poor, I directly reported [hot eyes]"
531,"Once I stayed in a hotel.The first day is Saturday in Meituan 177, and the next day want to stay, MeituanBB 1220 went to the front desk to ask 180 [OK] [OK] [OK] [OK]"
532,"Once with Didi on WeChat, I had previously certified it as a student and said that a discount would be cheaper.That time, because I had not decided not to go there, I kept withdrawing from the same place to reenter and exit, watching the price of two pieces and three pieces go up.During this time, I have been in situ, the destination has not changed, just back into a few times on the price rose!In addition, although the certified student identity!The same route with Didi I am higher than no certified price of 3~5 yuan!Didi is really disgusting people!"
533,"Once to buy a plane ticket, a more expensive, before and after a few minutes up hundreds of dollars, originally I was also killed familiar"
534,"Once guangfa credit card App point installment, also divided into 3 issues, the same day each time into the installment fee is not the same, the maximum difference to the difference of dozens of yuan per month.Thought that their eyes are wrong, that night to operate more than a dozen times of the screenshot comparison, found that no handling fee is the same.Said to colleagues did not respond, also said how can say that I see the wrong [sorry] after no installment."
540,"Especially in the Huawei mobile phone users, the IQ identification is completed!"
542,Grab their data with a bag [hot eyes]
543,People with apples don't care about the money.Must be a little higher to reflect the values and taste ah.
544,"It's definitely a little more expensive, so people can care about that money [doge] [doge] [doge]"
545,"Using an iPhone is originally a person, expensive point is very normal, noble experience"
550,"It is very difficult to determine whether a company has a dominant position, but actually find a few people to ask"
551,Didi is more expensive than your colleagues at the same time 15
552,"Can't afford Apple, those who order more than 10 yuan don't buy [doge]"
554,"We will always support the open and transparent service of the people wholeheartedly, 12306!"
555,The app store puts money on the shelves. Android gets user privacy
558,A regulator should be established to do everything across these networks
559,Should constitute consumer fraud false one compensate ten.The consumer will report back to the enterprise.Enterprises must compensate
560,"Should fine 500,000!!"
561,Should be fined by percentage [funny]
565,Because the penalty is not serious rights protection cost is low
570,"Italian food delivery platforms have just been fined 5 billion yuan, but no more"
